name,longName,chemCode,year,num,perc
bromopropane1,1-Bromopropane,106945,2012,4,44.44
bromopropane1,1-Bromopropane,106945,2013,4,36.36
bromopropane1,1-Bromopropane,106945,2014,4,33.33
bromopropane1,1-Bromopropane,106945,2015,4,33.33
bromopropane1,1-Bromopropane,106945,2016,6,75
bromopropane1,1-Bromopropane,106945,2017,6,100
bromopropane1,1-Bromopropane,106945,2018,6,100
bromopropane1,1-Bromopropane,106945,2019,5,100
bromopropane1,1-Bromopropane,106945,2020,3,75
bromopropane1,1-Bromopropane,106945,2021,3,75
bromopropane1,1-Bromopropane,106945,2022,3,75
bromopropane1,1-Bromopropane,106945,2023,4,100
dioxane14,"1,4-Dioxane",123911,2012,1,33.33
dioxane14,"1,4-Dioxane",123911,2013,1,33.33
dioxane14,"1,4-Dioxane",123911,2014,1,33.33
dioxane14,"1,4-Dioxane",123911,2015,1,33.33
dioxane14,"1,4-Dioxane",123911,2016,4,80
dioxane14,"1,4-Dioxane",123911,2017,4,66.67
dioxane14,"1,4-Dioxane",123911,2018,4,66.67
dioxane14,"1,4-Dioxane",123911,2019,4,66.67
dioxane14,"1,4-Dioxane",123911,2020,2,66.67
dioxane14,"1,4-Dioxane",123911,2021,2,50
dioxane14,"1,4-Dioxane",123911,2022,2,50
dioxane14,"1,4-Dioxane",123911,2023,2,50
perchloroethylenePerc,Perchloroethylene (PERC),127184,2012,12,63.16
perchloroethylenePerc,Perchloroethylene (PERC),127184,2013,11,55
perchloroethylenePerc,Perchloroethylene (PERC),127184,2014,11,57.89
perchloroethylenePerc,Perchloroethylene (PERC),127184,2015,11,57.89
perchloroethylenePerc,Perchloroethylene (PERC),127184,2016,15,78.95
perchloroethylenePerc,Perchloroethylene (PERC),127184,2017,15,71.43
perchloroethylenePerc,Perchloroethylene (PERC),127184,2018,16,72.73
perchloroethylenePerc,Perchloroethylene (PERC),127184,2019,15,71.43
perchloroethylenePerc,Perchloroethylene (PERC),127184,2020,18,75
perchloroethylenePerc,Perchloroethylene (PERC),127184,2021,18,78.26
perchloroethylenePerc,Perchloroethylene (PERC),127184,2022,18,78.26
perchloroethylenePerc,Perchloroethylene (PERC),127184,2023,18,81.82
asbestos,Asbestos,1332214,2012,2,100
asbestos,Asbestos,1332214,2013,2,100
asbestos,Asbestos,1332214,2014,2,100
asbestos,Asbestos,1332214,2015,2,100
asbestos,Asbestos,1332214,2016,2,100
asbestos,Asbestos,1332214,2017,2,100
asbestos,Asbestos,1332214,2018,2,100
asbestos,Asbestos,1332214,2019,2,100
asbestos,Asbestos,1332214,2020,1,100
asbestos,Asbestos,1332214,2021,1,100
asbestos,Asbestos,1332214,2022,1,100
asbestos,Asbestos,1332214,2023,1,100
cyclicAliphaticBromideClusterHbcd1,Cyclic aliphatic bromide cluster (HBCD) 1*,25637994,2012,4,100
cyclicAliphaticBromideClusterHbcd1,Cyclic aliphatic bromide cluster (HBCD) 1*,25637994,2013,4,100
cyclicAliphaticBromideClusterHbcd1,Cyclic aliphatic bromide cluster (HBCD) 1*,25637994,2014,4,100
cyclicAliphaticBromideClusterHbcd1,Cyclic aliphatic bromide cluster (HBCD) 1*,25637994,2015,4,66.67
