chemicalName,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1-Bromopropane,44.44,36.36,33.33,33.33,75,100,100,100,75,75,75,100
"1,4-Dioxane",33.33,33.33,33.33,33.33,80,66.67,66.67,66.67,66.67,50,50,50
Perchloroethylene (PERC),63.16,55,57.89,57.89,78.95,71.43,72.73,71.43,75,78.26,78.26,81.82
Asbestos,100,100,100,100,100,100,100,100,100,100,100,100
Cyclic aliphatic bromide cluster (HBCD) 1,100,100,100,66.67,100,100,100,NA,NA,NA,NA,NA
Cyclic aliphatic bromide cluster (HBCD) 2,80,80,80,66.67,100,100,100,100,NA,NA,NA,NA
Carbon tetrachloride,100,100,100,100,100,100,100,100,100,100,100,100
Dichloromethane,62.5,55.56,57.69,62.96,61.29,57.58,51.35,55.88,66.67,64.71,59.46,51.28
Trichloroethylene,73.33,52.63,52.63,55,47.06,47.06,45,47.06,60,52.94,52.63,64.29
Pigment violet 29,100,100,100,100,100,100,100,100,100,100,100,100
N-methylpyrrolidone (NMP),75,41.03,43.24,40,60,67.31,63.16,60.38,65.85,64,68.75,71.43
Tremolite asbestos,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
