name,longName,chemCode,year,num,perc
bromopropane1,1-Bromopropane,106945,2012,10,71.43
bromopropane1,1-Bromopropane,106945,2013,10,62.5
bromopropane1,1-Bromopropane,106945,2014,10,58.82
bromopropane1,1-Bromopropane,106945,2015,10,58.82
bromopropane1,1-Bromopropane,106945,2016,15,88.24
bromopropane1,1-Bromopropane,106945,2017,15,100
bromopropane1,1-Bromopropane,106945,2018,15,100
bromopropane1,1-Bromopropane,106945,2019,14,100
bromopropane1,1-Bromopropane,106945,2020,6,85.71
bromopropane1,1-Bromopropane,106945,2021,6,85.71
bromopropane1,1-Bromopropane,106945,2022,6,85.71
bromopropane1,1-Bromopropane,106945,2023,7,100
dioxane14,"1,4-Dioxane",123911,2012,3,42.86
dioxane14,"1,4-Dioxane",123911,2013,3,42.86
dioxane14,"1,4-Dioxane",123911,2014,3,42.86
dioxane14,"1,4-Dioxane",123911,2015,3,42.86
dioxane14,"1,4-Dioxane",123911,2016,7,87.5
dioxane14,"1,4-Dioxane",123911,2017,7,77.78
dioxane14,"1,4-Dioxane",123911,2018,7,77.78
dioxane14,"1,4-Dioxane",123911,2019,7,77.78
dioxane14,"1,4-Dioxane",123911,2020,6,85.71
dioxane14,"1,4-Dioxane",123911,2021,6,60
dioxane14,"1,4-Dioxane",123911,2022,6,60
dioxane14,"1,4-Dioxane",123911,2023,6,60
perchloroethylenePerc,Perchloroethylene (PERC),127184,2012,23,69.7
perchloroethylenePerc,Perchloroethylene (PERC),127184,2013,22,64.71
perchloroethylenePerc,Perchloroethylene (PERC),127184,2014,22,66.67
perchloroethylenePerc,Perchloroethylene (PERC),127184,2015,22,66.67
perchloroethylenePerc,Perchloroethylene (PERC),127184,2016,26,86.67
perchloroethylenePerc,Perchloroethylene (PERC),127184,2017,26,81.25
perchloroethylenePerc,Perchloroethylene (PERC),127184,2018,27,81.82
perchloroethylenePerc,Perchloroethylene (PERC),127184,2019,26,81.25
perchloroethylenePerc,Perchloroethylene (PERC),127184,2020,33,84.62
perchloroethylenePerc,Perchloroethylene (PERC),127184,2021,33,86.84
perchloroethylenePerc,Perchloroethylene (PERC),127184,2022,33,86.84
perchloroethylenePerc,Perchloroethylene (PERC),127184,2023,33,89.19
asbestos,Asbestos,1332214,2012,2,100
asbestos,Asbestos,1332214,2013,2,100
asbestos,Asbestos,1332214,2014,2,100
asbestos,Asbestos,1332214,2015,2,100
asbestos,Asbestos,1332214,2016,2,100
asbestos,Asbestos,1332214,2017,2,100
asbestos,Asbestos,1332214,2018,2,100
asbestos,Asbestos,1332214,2019,2,100
asbestos,Asbestos,1332214,2020,1,100
asbestos,Asbestos,1332214,2021,1,100
asbestos,Asbestos,1332214,2022,1,100
asbestos,Asbestos,1332214,2023,1,100
cyclicAliphaticBromideClusterHbcd1,Cyclic aliphatic bromide cluster (HBCD) 1,25637994,2012,6,100
cyclicAliphaticBromideClusterHbcd1,Cyclic aliphatic bromide cluster (HBCD) 1,25637994,2013,6,100
cyclicAliphaticBromideClusterHbcd1,Cyclic aliphatic bromide cluster (HBCD) 1,25637994,2014,6,100
cyclicAliphaticBromideClusterHbcd1,Cyclic aliphatic bromide cluster (HBCD) 1,25637994,2015,6,75
cyclicAliphaticBromideClusterHbcd1,Cyclic aliphatic bromide cluster (HBCD) 1,25637994,2016,1,100
cyclicAliphaticBromideClusterHbcd1,Cyclic aliphatic bromide cluster (HBCD) 1,25637994,2017,1,100
cyclicAliphaticBromideClusterHbcd1,Cyclic aliphatic bromide cluster (HBCD) 1,25637994,2018,1,100
cyclicAliphaticBromideClusterHbcd1,Cyclic aliphatic bromide cluster (HBCD) 1,25637994,2019,0,
cyclicAliphaticBromideClusterHbcd1,Cyclic aliphatic bromide cluster (HBCD) 1,25637994,2020,0,
cyclicAliphaticBromideClusterHbcd1,Cyclic aliphatic bromide cluster (HBCD) 1,25637994,2021,0,
cyclicAliphaticBromideClusterHbcd1,Cyclic aliphatic bromide cluster (HBCD) 1,25637994,2022,0,
cyclicAliphaticBromideClusterHbcd1,Cyclic aliphatic bromide cluster (HBCD) 1,25637994,2023,0,
cyclicAliphaticBromideClusterHbcd2,Cyclic aliphatic bromide cluster (HBCD) 2,3194556,2012,5,83.33
cyclicAliphaticBromideClusterHbcd2,Cyclic aliphatic bromide cluster (HBCD) 2,3194556,2013,5,83.33
cyclicAliphaticBromideClusterHbcd2,Cyclic aliphatic bromide cluster (HBCD) 2,3194556,2014,5,83.33
cyclicAliphaticBromideClusterHbcd2,Cyclic aliphatic bromide cluster (HBCD) 2,3194556,2015,5,71.43
cyclicAliphaticBromideClusterHbcd2,Cyclic aliphatic bromide cluster (HBCD) 2,3194556,2016,3,100
cyclicAliphaticBromideClusterHbcd2,Cyclic aliphatic bromide cluster (HBCD) 2,3194556,2017,3,100
cyclicAliphaticBromideClusterHbcd2,Cyclic aliphatic bromide cluster (HBCD) 2,3194556,2018,3,100
cyclicAliphaticBromideClusterHbcd2,Cyclic aliphatic bromide cluster (HBCD) 2,3194556,2019,2,100
cyclicAliphaticBromideClusterHbcd2,Cyclic aliphatic bromide cluster (HBCD) 2,3194556,2020,0,
