chemCode,chemicalName,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
106945,1-Bromopropane,10,10,10,10,15,15,15,14,6,6,6,7
123911,"1,4-Dioxane",3,3,3,3,7,7,7,7,6,6,6,6
127184,Perchloroethylene (PERC),23,22,22,22,26,26,27,26,33,33,33,33
1332214,Asbestos,2,2,2,2,2,2,2,2,1,1,1,1
25637994,Cyclic aliphatic bromide cluster (HBCD) 1*,6,6,6,6,1,1,1,0,0,0,0,0
3194556,Cyclic aliphatic bromide cluster (HBCD) 2*,5,5,5,5,3,3,3,2,0,0,0,0
56235,Carbon tetrachloride,11,10,9,10,10,10,10,10,12,12,12,12
75092,Dichloromethane,28,28,28,34,33,33,33,33,40,40,40,39
79016,Trichloroethylene,18,17,17,18,11,11,12,11,12,12,13,12
81334,Pigment violet 29,3,3,3,3,4,4,4,4,5,5,5,5
872504,N-methylpyrrolidone,40,34,34,40,62,56,62,57,39,40,41,38
