chemicalName,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1-Bromopropane,71.43,62.5,58.82,58.82,88.24,100,100,100,85.71,85.71,85.71,100
"1,4-Dioxane",42.86,42.86,42.86,42.86,87.5,77.78,77.78,77.78,85.71,60,60,60
Perchloroethylene (PERC),69.7,64.71,66.67,66.67,86.67,81.25,81.82,81.25,84.62,86.84,86.84,89.19
Asbestos,100,100,100,100,100,100,100,100,100,100,100,100
Cyclic aliphatic bromide cluster (HBCD),100,100,100,75,100,100,100,NA,NA,NA,NA,NA
Cyclic aliphatic bromide cluster (HBCD),83.33,83.33,83.33,71.43,100,100,100,100,NA,NA,NA,NA
Carbon tetrachloride,100,100,100,100,100,100,100,100,100,100,100,100
Dichloromethane,65.12,62.22,63.64,75.56,62.26,60,55.93,58.93,74.07,72.73,68.97,63.93
Trichloroethylene,75,48.57,48.57,50,42.31,42.31,41.38,42.31,66.67,60,59.09,70.59
Pigment violet 29,100,100,100,100,100,100,100,100,100,100,100,100
N-methylpyrrolidone,70.18,47.22,48.57,51.95,65.96,72.73,68.89,66.28,67.24,62.5,68.33,71.7
