year,volume,category,chemical
2012,825521.405,con,Methylene chloride
2012,1881179.069,ind,Methylene chloride
2012,45359237,low ,Methylene chloride
2012,113398092.5,high,Methylene chloride
2013,1128492.439,con,Methylene chloride
2013,1926733.405,ind,Methylene chloride
2013,453592.37,low ,Methylene chloride
2013,113398092.5,high,Methylene chloride
2014,1448436.465,con,Methylene chloride
2014,2164708.657,ind,Methylene chloride
2014,45359237,low ,Methylene chloride
2014,113398092.5,high,Methylene chloride
2015,1155723.435,con,Methylene chloride
2015,1798771.217,ind,Methylene chloride
2015,113398092.5,low ,Methylene chloride
2015,226796185,high,Methylene chloride
2016,2435315.837,con,Methylene chloride
2016,5310582.776,ind,Methylene chloride
2016,45359237,low ,Methylene chloride
2016,113398092.5,high,Methylene chloride
2017,1259578.521,con,Methylene chloride
2017,2043516.797,ind,Methylene chloride
2017,45359237,low ,Methylene chloride
2017,113398092.5,high,Methylene chloride
2018,1864201.087,con,Methylene chloride
2018,3892543.84,ind,Methylene chloride
2018,113398092.5,low ,Methylene chloride
2018,226796185,high,Methylene chloride
2019,1250269.888,con,Methylene chloride
2019,2727581.624,ind,Methylene chloride
2019,45359237,low ,Methylene chloride
2019,113398092.5,high,Methylene chloride
2020,978119.1316,con,Methylene chloride
2020,1382660.504,ind,Methylene chloride
2020,45359237,low ,Methylene chloride
2020,113398092.5,high,Methylene chloride
2021,762542.7511,con,Methylene chloride
2021,1025156.716,ind,Methylene chloride
2021,45359237,low ,Methylene chloride
2021,113398092.5,high,Methylene chloride
2022,632281.7538,con,Methylene chloride
2022,726844.082,ind,Methylene chloride
2022,45359237,low ,Methylene chloride
2022,113398092.5,high,Methylene chloride
2023,1064460.996,con,Methylene chloride
2023,1213787.41,ind,Methylene chloride
2023,45359237,low ,Methylene chloride
2023,113398092.5,high,Methylene chloride
